"alpha","gamma","initRabbits","initFoxes","meansteps","hash"
"0.01","0.01","90","20","216.9","0.01-0.01-90-20"
"0.01","0.01","90","30","111.8","0.01-0.01-90-30"
"0.01","0.01","90","40","118.1","0.01-0.01-90-40"
"0.01","0.01","90","50","96.8","0.01-0.01-90-50"
"0.01","0.01","90","60","218.3","0.01-0.01-90-60"
"0.01","0.01","90","70","61.0","0.01-0.01-90-70"
"0.01","0.01","90","80","64.2","0.01-0.01-90-80"
"0.01","0.01","90","90","57.4","0.01-0.01-90-90"
"0.01","0.02","10","10","800.1","0.01-0.02-10-10"
"0.01","0.02","10","100","239.9","0.01-0.02-10-100"
"0.01","0.02","10","20","655.6","0.01-0.02-10-20"
"0.01","0.02","10","30","526.5","0.01-0.02-10-30"
"0.01","0.02","10","40","428.1","0.01-0.02-10-40"
"0.01","0.02","10","50","402.6","0.01-0.02-10-50"
"0.01","0.02","10","60","256.8","0.01-0.02-10-60"
"0.01","0.02","10","70","376.9","0.01-0.02-10-70"
"0.01","0.02","10","80","192.0","0.01-0.02-10-80"
"0.01","0.02","10","90","128.9","0.01-0.02-10-90"
"0.01","0.02","100","10","504.2","0.01-0.02-100-10"
"0.01","0.02","100","100","130.1","0.01-0.02-100-100"
"0.01","0.02","100","20","434.2","0.01-0.02-100-20"
"0.01","0.02","100","30","498.5","0.01-0.02-100-30"
"0.01","0.02","100","40","239.0","0.01-0.02-100-40"
"0.01","0.02","100","50","214.0","0.01-0.02-100-50"
"0.01","0.02","100","60","144.1","0.01-0.02-100-60"
"0.01","0.02","100","70","261.8","0.01-0.02-100-70"
"0.01","0.02","100","80","180.7","0.01-0.02-100-80"
"0.01","0.02","100","90","119.5","0.01-0.02-100-90"
"0.01","0.02","20","10","722.3","0.01-0.02-20-10"
"0.01","0.02","20","100","148.1","0.01-0.02-20-100"
"0.01","0.02","20","20","1022.8","0.01-0.02-20-20"
"0.01","0.02","20","30","617.1","0.01-0.02-20-30"
"0.01","0.02","20","40","654.8","0.01-0.02-20-40"
"0.01","0.02","20","50","607.7","0.01-0.02-20-50"
"0.01","0.02","20","60","193.8","0.01-0.02-20-60"
"0.01","0.02","20","70","340.7","0.01-0.02-20-70"
"0.01","0.02","20","80","261.8","0.01-0.02-20-80"
"0.01","0.02","20","90","195.0","0.01-0.02-20-90"
"0.01","0.02","30","10","931.2","0.01-0.02-30-10"
"0.01","0.02","30","100","207.8","0.01-0.02-30-100"
"0.01","0.02","30","20","664.7","0.01-0.02-30-20"
"0.01","0.02","30","30","742.6","0.01-0.02-30-30"
"0.01","0.02","30","40","515.9","0.01-0.02-30-40"
"0.01","0.02","30","50","578.3","0.01-0.02-30-50"
"0.01","0.02","30","60","246.4","0.01-0.02-30-60"
"0.01","0.02","30","70","313.4","0.01-0.02-30-70"
"0.01","0.02","30","80","241.3","0.01-0.02-30-80"
"0.01","0.02","30","90","164.2","0.01-0.02-30-90"
"0.01","0.02","40","10","589.1","0.01-0.02-40-10"
"0.01","0.02","40","100","177.0","0.01-0.02-40-100"
"0.01","0.02","40","20","906.4","0.01-0.02-40-20"
"0.01","0.02","40","30","532.4","0.01-0.02-40-30"
"0.01","0.02","40","40","331.9","0.01-0.02-40-40"
"0.01","0.02","40","50","265.6","0.01-0.02-40-50"
"0.01","0.02","40","60","348.6","0.01-0.02-40-60"
"0.01","0.02","40","70","351.9","0.01-0.02-40-70"
"0.01","0.02","40","80","247.0","0.01-0.02-40-80"
"0.01","0.02","40","90","179.4","0.01-0.02-40-90"
"0.01","0.02","50","10","764.4","0.01-0.02-50-10"
"0.01","0.02","50","100","164.2","0.01-0.02-50-100"
"0.01","0.02","50","20","795.5","0.01-0.02-50-20"
"0.01","0.02","50","30","582.3","0.01-0.02-50-30"
"0.01","0.02","50","40","545.5","0.01-0.02-50-40"
"0.01","0.02","50","50","499.6","0.01-0.02-50-50"
"0.01","0.02","50","60","310.1","0.01-0.02-50-60"
"0.01","0.02","50","70","355.1","0.01-0.02-50-70"
"0.01","0.02","50","80","190.1","0.01-0.02-50-80"
"0.01","0.02","50","90","150.0","0.01-0.02-50-90"
"0.01","0.02","60","10","843.5","0.01-0.02-60-10"
"0.01","0.02","60","100","120.4","0.01-0.02-60-100"
"0.01","0.02","60","20","749.8","0.01-0.02-60-20"
"0.01","0.02","60","30","745.3","0.01-0.02-60-30"
"0.01","0.02","60","40","380.7","0.01-0.02-60-40"
"0.01","0.02","60","50","542.8","0.01-0.02-60-50"
"0.01","0.02","60","60","492.0","0.01-0.02-60-60"
"0.01","0.02","60","70","416.4","0.01-0.02-60-70"
"0.01","0.02","60","80","210.9","0.01-0.02-60-80"
"0.01","0.02","60","90","160.7","0.01-0.02-60-90"
"0.01","0.02","70","10","385.8","0.01-0.02-70-10"
"0.01","0.02","70","100","102.2","0.01-0.02-70-100"
"0.01","0.02","70","20","468.0","0.01-0.02-70-20"
"0.01","0.02","70","30","620.2","0.01-0.02-70-30"
"0.01","0.02","70","40","439.9","0.01-0.02-70-40"
"0.01","0.02","70","50","223.5","0.01-0.02-70-50"
"0.01","0.02","70","60","343.0","0.01-0.02-70-60"
"0.01","0.02","70","70","385.9","0.01-0.02-70-70"
"0.01","0.02","70","80","212.0","0.01-0.02-70-80"
"0.01","0.02","70","90","155.4","0.01-0.02-70-90"
"0.01","0.02","80","10","532.3","0.01-0.02-80-10"
"0.01","0.02","80","100","148.0","0.01-0.02-80-100"
"0.01","0.02","80","20","382.5","0.01-0.02-80-20"
"0.01","0.02","80","30","418.1","0.01-0.02-80-30"
"0.01","0.02","80","40","287.8","0.01-0.02-80-40"
"0.01","0.02","80","50","277.2","0.01-0.02-80-50"
"0.01","0.02","80","60","201.3","0.01-0.02-80-60"
"0.01","0.02","80","70","176.0","0.01-0.02-80-70"
"0.01","0.02","80","80","188.0","0.01-0.02-80-80"
"0.01","0.02","80","90","174.5","0.01-0.02-80-90"
"0.01","0.02","90","10","513.7","0.01-0.02-90-10"
"0.01","0.02","90","100","95.9","0.01-0.02-90-100"
"0.01","0.02","90","20","351.0","0.01-0.02-90-20"
"0.01","0.02","90","30","438.3","0.01-0.02-90-30"
"0.01","0.02","90","40","463.3","0.01-0.02-90-40"
"0.01","0.02","90","50","310.7","0.01-0.02-90-50"
"0.01","0.02","90","60","191.2","0.01-0.02-90-60"
"0.01","0.02","90","70","161.2","0.01-0.02-90-70"
"0.01","0.02","90","80","354.6","0.01-0.02-90-80"
"0.01","0.02","90","90","160.6","0.01-0.02-90-90"
"0.01","0.03","10","10","239.9","0.01-0.03-10-10"
"0.01","0.03","10","100","181.1","0.01-0.03-10-100"
"0.01","0.03","10","20","111.8","0.01-0.03-10-20"
"0.01","0.03","10","30","146.3","0.01-0.03-10-30"
"0.01","0.03","10","40","154.4","0.01-0.03-10-40"
"0.01","0.03","10","50","230.5","0.01-0.03-10-50"
"0.01","0.03","10","60","153.8","0.01-0.03-10-60"
"0.01","0.03","10","70","167.6","0.01-0.03-10-70"
"0.01","0.03","10","80","169.7","0.01-0.03-10-80"
"0.01","0.03","10","90","151.9","0.01-0.03-10-90"
"0.01","0.03","100","10","476.4","0.01-0.03-100-10"
"0.01","0.03","100","100","210.5","0.01-0.03-100-100"
"0.01","0.03","100","20","402.1","0.01-0.03-100-20"
"0.01","0.03","100","30","371.1","0.01-0.03-100-30"
"0.01","0.03","100","40","318.0","0.01-0.03-100-40"
"0.01","0.03","100","50","219.6","0.01-0.03-100-50"
"0.01","0.03","100","60","245.4","0.01-0.03-100-60"
"0.01","0.03","100","70","220.1","0.01-0.03-100-70"
"0.01","0.03","100","80","222.2","0.01-0.03-100-80"
"0.01","0.03","100","90","167.9","0.01-0.03-100-90"
"0.01","0.03","20","10","377.4","0.01-0.03-20-10"
