"alpha","gamma","initRabbits","initFoxes","meansteps","hash"
"0.03","0.03","30","50","799.8","0.03-0.03-30-50"
"0.03","0.03","30","60","689.0","0.03-0.03-30-60"
"0.03","0.03","30","70","754.2","0.03-0.03-30-70"
"0.03","0.03","30","80","639.5","0.03-0.03-30-80"
"0.03","0.03","30","90","468.9","0.03-0.03-30-90"
"0.03","0.03","40","10","691.8","0.03-0.03-40-10"
"0.03","0.03","40","100","542.8","0.03-0.03-40-100"
"0.03","0.03","40","20","564.8","0.03-0.03-40-20"
"0.03","0.03","40","30","664.2","0.03-0.03-40-30"
"0.03","0.03","40","40","816.6","0.03-0.03-40-40"
"0.03","0.03","40","50","885.9","0.03-0.03-40-50"
"0.03","0.03","40","60","823.1","0.03-0.03-40-60"
"0.03","0.03","40","70","857.7","0.03-0.03-40-70"
"0.03","0.03","40","80","672.8","0.03-0.03-40-80"
"0.03","0.03","40","90","522.8","0.03-0.03-40-90"
"0.03","0.03","50","10","345.2","0.03-0.03-50-10"
"0.03","0.03","50","100","505.9","0.03-0.03-50-100"
"0.03","0.03","50","20","543.0","0.03-0.03-50-20"
"0.03","0.03","50","30","861.6","0.03-0.03-50-30"
"0.03","0.03","50","40","956.2","0.03-0.03-50-40"
"0.03","0.03","50","50","676.9","0.03-0.03-50-50"
"0.03","0.03","50","60","847.4","0.03-0.03-50-60"
"0.03","0.03","50","70","648.4","0.03-0.03-50-70"
"0.03","0.03","50","80","731.3","0.03-0.03-50-80"
"0.03","0.03","50","90","633.4","0.03-0.03-50-90"
"0.03","0.03","60","10","589.4","0.03-0.03-60-10"
"0.03","0.03","60","100","517.6","0.03-0.03-60-100"
"0.03","0.03","60","20","519.2","0.03-0.03-60-20"
"0.03","0.03","60","30","824.5","0.03-0.03-60-30"
"0.03","0.03","60","40","798.1","0.03-0.03-60-40"
"0.03","0.03","60","50","859.6","0.03-0.03-60-50"
"0.03","0.03","60","60","768.2","0.03-0.03-60-60"
"0.03","0.03","60","70","687.3","0.03-0.03-60-70"
"0.03","0.03","60","80","672.4","0.03-0.03-60-80"
"0.03","0.03","60","90","353.3","0.03-0.03-60-90"
"0.03","0.03","70","10","358.7","0.03-0.03-70-10"
"0.03","0.03","70","100","656.3","0.03-0.03-70-100"
"0.03","0.03","70","20","595.1","0.03-0.03-70-20"
"0.03","0.03","70","30","692.6","0.03-0.03-70-30"
"0.03","0.03","70","40","814.5","0.03-0.03-70-40"
"0.03","0.03","70","50","750.3","0.03-0.03-70-50"
"0.03","0.03","70","60","757.3","0.03-0.03-70-60"
"0.03","0.03","70","70","761.0","0.03-0.03-70-70"
"0.03","0.03","70","80","834.8","0.03-0.03-70-80"
"0.03","0.03","70","90","639.9","0.03-0.03-70-90"
"0.03","0.03","80","10","290.6","0.03-0.03-80-10"
"0.03","0.03","80","100","524.2","0.03-0.03-80-100"
"0.03","0.03","80","20","429.7","0.03-0.03-80-20"
"0.03","0.03","80","30","837.1","0.03-0.03-80-30"
"0.03","0.03","80","40","927.2","0.03-0.03-80-40"
"0.03","0.03","80","50","628.0","0.03-0.03-80-50"
"0.03","0.03","80","60","671.9","0.03-0.03-80-60"
"0.03","0.03","80","70","653.1","0.03-0.03-80-70"
"0.03","0.03","80","80","703.9","0.03-0.03-80-80"
"0.03","0.03","80","90","535.2","0.03-0.03-80-90"
"0.03","0.03","90","10","310.4","0.03-0.03-90-10"
"0.03","0.03","90","100","408.2","0.03-0.03-90-100"
"0.03","0.03","90","20","773.3","0.03-0.03-90-20"
"0.03","0.03","90","30","601.5","0.03-0.03-90-30"
"0.03","0.03","90","40","715.0","0.03-0.03-90-40"
"0.03","0.03","90","50","667.9","0.03-0.03-90-50"
"0.03","0.03","90","60","537.9","0.03-0.03-90-60"
"0.03","0.03","90","70","564.2","0.03-0.03-90-70"
"0.03","0.03","90","80","657.2","0.03-0.03-90-80"
"0.03","0.03","90","90","590.6","0.03-0.03-90-90"
"0.03","0.04","10","10","145.9","0.03-0.04-10-10"
"0.03","0.04","10","100","206.4","0.03-0.04-10-100"
"0.03","0.04","10","20","278.5","0.03-0.04-10-20"
"0.03","0.04","10","30","178.1","0.03-0.04-10-30"
"0.03","0.04","10","40","463.4","0.03-0.04-10-40"
"0.03","0.04","10","50","324.0","0.03-0.04-10-50"
"0.03","0.04","10","60","216.5","0.03-0.04-10-60"
"0.03","0.04","10","70","255.3","0.03-0.04-10-70"
"0.03","0.04","10","80","325.1","0.03-0.04-10-80"
"0.03","0.04","10","90","205.6","0.03-0.04-10-90"
"0.03","0.04","100","10","358.4","0.03-0.04-100-10"
"0.03","0.04","100","100","526.4","0.03-0.04-100-100"
"0.03","0.04","100","20","430.1","0.03-0.04-100-20"
"0.03","0.04","100","30","588.9","0.03-0.04-100-30"
"0.03","0.04","100","40","724.3","0.03-0.04-100-40"
"0.03","0.04","100","50","524.3","0.03-0.04-100-50"
"0.03","0.04","100","60","687.4","0.03-0.04-100-60"
"0.03","0.04","100","70","657.5","0.03-0.04-100-70"
"0.03","0.04","100","80","615.1","0.03-0.04-100-80"
"0.03","0.04","100","90","618.9","0.03-0.04-100-90"
"0.03","0.04","20","10","198.1","0.03-0.04-20-10"
"0.03","0.04","20","100","289.4","0.03-0.04-20-100"
"0.03","0.04","20","20","397.9","0.03-0.04-20-20"
"0.03","0.04","20","30","450.6","0.03-0.04-20-30"
"0.03","0.04","20","40","498.3","0.03-0.04-20-40"
"0.03","0.04","20","50","503.7","0.03-0.04-20-50"
"0.03","0.04","20","60","497.6","0.03-0.04-20-60"
"0.03","0.04","20","70","373.5","0.03-0.04-20-70"
"0.03","0.04","20","80","349.9","0.03-0.04-20-80"
"0.03","0.04","20","90","413.5","0.03-0.04-20-90"
"0.03","0.04","30","10","391.2","0.03-0.04-30-10"
"0.03","0.04","30","100","511.7","0.03-0.04-30-100"
"0.03","0.04","30","20","455.8","0.03-0.04-30-20"
"0.03","0.04","30","30","514.7","0.03-0.04-30-30"
"0.03","0.04","30","40","553.1","0.03-0.04-30-40"
"0.03","0.04","30","50","535.8","0.03-0.04-30-50"
"0.03","0.04","30","60","711.3","0.03-0.04-30-60"
"0.03","0.04","30","70","604.2","0.03-0.04-30-70"
"0.03","0.04","30","80","453.4","0.03-0.04-30-80"
"0.03","0.04","30","90","386.1","0.03-0.04-30-90"
"0.03","0.04","40","10","275.0","0.03-0.04-40-10"
"0.03","0.04","40","100","387.7","0.03-0.04-40-100"
"0.03","0.04","40","20","552.6","0.03-0.04-40-20"
"0.03","0.04","40","30","655.9","0.03-0.04-40-30"
"0.03","0.04","40","40","701.4","0.03-0.04-40-40"
"0.03","0.04","40","50","796.4","0.03-0.04-40-50"
"0.03","0.04","40","60","653.3","0.03-0.04-40-60"
"0.03","0.04","40","70","681.3","0.03-0.04-40-70"
"0.03","0.04","40","80","454.2","0.03-0.04-40-80"
"0.03","0.04","40","90","437.9","0.03-0.04-40-90"
"0.03","0.04","50","10","507.6","0.03-0.04-50-10"
"0.03","0.04","50","100","490.4","0.03-0.04-50-100"
"0.03","0.04","50","20","496.5","0.03-0.04-50-20"
"0.03","0.04","50","30","958.4","0.03-0.04-50-30"
"0.03","0.04","50","40","968.6","0.03-0.04-50-40"
"0.03","0.04","50","50","934.3","0.03-0.04-50-50"
"0.03","0.04","50","60","646.6","0.03-0.04-50-60"
"0.03","0.04","50","70","699.6","0.03-0.04-50-70"
"0.03","0.04","50","80","864.7","0.03-0.04-50-80"
"0.03","0.04","50","90","712.9","0.03-0.04-50-90"
"0.03","0.04","60","10","449.6","0.03-0.04-60-10"
"0.03","0.04","60","100","564.3","0.03-0.04-60-100"
"0.03","0.04","60","20","526.7","0.03-0.04-60-20"
"0.03","0.04","60","30","798.3","0.03-0.04-60-30"
"0.03","0.04","60","40","898.3","0.03-0.04-60-40"
"0.03","0.04","60","50","752.7","0.03-0.04-60-50"
"0.03","0.04","60","60","884.4","0.03-0.04-60-60"
"0.03","0.04","60","70","748.1","0.03-0.04-60-70"
"0.03","0.04","60","80","591.9","0.03-0.04-60-80"
"0.03","0.04","60","90","592.7","0.03-0.04-60-90"
"0.03","0.04","70","10","327.0","0.03-0.04-70-10"
"0.03","0.04","70","100","650.9","0.03-0.04-70-100"
"0.03","0.04","70","20","641.6","0.03-0.04-70-20"
"0.03","0.04","70","30","897.4","0.03-0.04-70-30"
"0.03","0.04","70","40","918.3","0.03-0.04-70-40"
"0.03","0.04","70","50","913.4","0.03-0.04-70-50"
"0.03","0.04","70","60","922.6","0.03-0.04-70-60"
"0.03","0.04","70","70","789.6","0.03-0.04-70-70"
"0.03","0.04","70","80","641.9","0.03-0.04-70-80"
"0.03","0.04","70","90","707.9","0.03-0.04-70-90"
"0.03","0.04","80","10","265.6","0.03-0.04-80-10"
"0.03","0.04","80","100","548.6","0.03-0.04-80-100"
"0.03","0.04","80","20","632.3","0.03-0.04-80-20"
"0.03","0.04","80","30","722.5","0.03-0.04-80-30"
"0.03","0.04","80","40","673.3","0.03-0.04-80-40"
"0.03","0.04","80","50","722.3","0.03-0.04-80-50"
"0.03","0.04","80","60","744.1","0.03-0.04-80-60"
"0.03","0.04","80","70","640.7","0.03-0.04-80-70"
"0.03","0.04","80","80","676.8","0.03-0.04-80-80"
"0.03","0.04","80","90","617.2","0.03-0.04-80-90"
"0.03","0.04","90","10","320.5","0.03-0.04-90-10"
"0.03","0.04","90","100","751.9","0.03-0.04-90-100"
"0.03","0.04","90","20","490.5","0.03-0.04-90-20"
"0.03","0.04","90","30","1008.0","0.03-0.04-90-30"
"0.03","0.04","90","40","733.1","0.03-0.04-90-40"
"0.03","0.04","90","50","765.4","0.03-0.04-90-50"
"0.03","0.04","90","60","725.8","0.03-0.04-90-60"
"0.03","0.04","90","70","752.6","0.03-0.04-90-70"
"0.03","0.04","90","80","587.9","0.03-0.04-90-80"
"0.03","0.04","90","90","567.8","0.03-0.04-90-90"
"0.03","0.05","10","10","187.0","0.03-0.05-10-10"
"0.03","0.05","10","100","177.0","0.03-0.05-10-100"
"0.03","0.05","10","20","108.1","0.03-0.05-10-20"
"0.03","0.05","10","30","150.6","0.03-0.05-10-30"
"0.03","0.05","10","40","153.6","0.03-0.05-10-40"
"0.03","0.05","10","50","148.8","0.03-0.05-10-50"
"0.03","0.05","10","60","374.5","0.03-0.05-10-60"
"0.03","0.05","10","70","157.9","0.03-0.05-10-70"
"0.03","0.05","10","80","186.0","0.03-0.05-10-80"
"0.03","0.05","10","90","199.9","0.03-0.05-10-90"
"0.03","0.05","100","10","428.8","0.03-0.05-100-10"
"0.03","0.05","100","100","561.8","0.03-0.05-100-100"
"0.03","0.05","100","20","656.1","0.03-0.05-100-20"
"0.03","0.05","100","30","768.3","0.03-0.05-100-30"
"0.03","0.05","100","40","520.8","0.03-0.05-100-40"
"0.03","0.05","100","50","737.3","0.03-0.05-100-50"
"0.03","0.05","100","60","565.8","0.03-0.05-100-60"
"0.03","0.05","100","70","728.1","0.03-0.05-100-70"
"0.03","0.05","100","80","523.4","0.03-0.05-100-80"
"0.03","0.05","100","90","477.9","0.03-0.05-100-90"
"0.03","0.05","20","10","184.3","0.03-0.05-20-10"
"0.03","0.05","20","100","209.8","0.03-0.05-20-100"
"0.03","0.05","20","20","279.7","0.03-0.05-20-20"
"0.03","0.05","20","30","438.8","0.03-0.05-20-30"
"0.03","0.05","20","40","356.2","0.03-0.05-20-40"
"0.03","0.05","20","50","445.7","0.03-0.05-20-50"
"0.03","0.05","20","60","397.0","0.03-0.05-20-60"
"0.03","0.05","20","70","483.7","0.03-0.05-20-70"
"0.03","0.05","20","80","412.9","0.03-0.05-20-80"
"0.03","0.05","20","90","313.5","0.03-0.05-20-90"
"0.03","0.05","30","10","269.4","0.03-0.05-30-10"
"0.03","0.05","30","100","289.0","0.03-0.05-30-100"
"0.03","0.05","30","20","443.3","0.03-0.05-30-20"
"0.03","0.05","30","30","455.4","0.03-0.05-30-30"
"0.03","0.05","30","40","578.3","0.03-0.05-30-40"
"0.03","0.05","30","50","431.7","0.03-0.05-30-50"
"0.03","0.05","30","60","316.7","0.03-0.05-30-60"
"0.03","0.05","30","70","350.4","0.03-0.05-30-70"
"0.03","0.05","30","80","435.0","0.03-0.05-30-80"
"0.03","0.05","30","90","525.9","0.03-0.05-30-90"
"0.03","0.05","40","10","178.8","0.03-0.05-40-10"
"0.03","0.05","40","100","365.2","0.03-0.05-40-100"
"0.03","0.05","40","20","480.6","0.03-0.05-40-20"
"0.03","0.05","40","30","445.2","0.03-0.05-40-30"
"0.03","0.05","40","40","528.3","0.03-0.05-40-40"
"0.03","0.05","40","50","743.0","0.03-0.05-40-50"
"0.03","0.05","40","60","458.2","0.03-0.05-40-60"
"0.03","0.05","40","70","547.4","0.03-0.05-40-70"
"0.03","0.05","40","80","537.8","0.03-0.05-40-80"
"0.03","0.05","40","90","435.7","0.03-0.05-40-90"
"0.03","0.05","50","10","647.3","0.03-0.05-50-10"
"0.03","0.05","50","100","484.5","0.03-0.05-50-100"
"0.03","0.05","50","20","643.6","0.03-0.05-50-20"
"0.03","0.05","50","30","641.8","0.03-0.05-50-30"
"0.03","0.05","50","40","509.6","0.03-0.05-50-40"
"0.03","0.05","50","50","529.0","0.03-0.05-50-50"
"0.03","0.05","50","60","485.8","0.03-0.05-50-60"
"0.03","0.05","50","70","417.5","0.03-0.05-50-70"
"0.03","0.05","50","80","657.1","0.03-0.05-50-80"
"0.03","0.05","50","90","551.4","0.03-0.05-50-90"
"0.03","0.05","60","10","447.1","0.03-0.05-60-10"
"0.03","0.05","60","100","507.1","0.03-0.05-60-100"
"0.03","0.05","60","20","498.5","0.03-0.05-60-20"
"0.03","0.05","60","30","721.1","0.03-0.05-60-30"
"0.03","0.05","60","40","795.7","0.03-0.05-60-40"
"0.03","0.05","60","50","637.9","0.03-0.05-60-50"
"0.03","0.05","60","60","654.0","0.03-0.05-60-60"
"0.03","0.05","60","70","469.1","0.03-0.05-60-70"
"0.03","0.05","60","80","464.0","0.03-0.05-60-80"
"0.03","0.05","60","90","508.5","0.03-0.05-60-90"
"0.03","0.05","70","10","353.9","0.03-0.05-70-10"
"0.03","0.05","70","100","502.7","0.03-0.05-70-100"
"0.03","0.05","70","20","568.3","0.03-0.05-70-20"
"0.03","0.05","70","30","880.4","0.03-0.05-70-30"
"0.03","0.05","70","40","710.6","0.03-0.05-70-40"
"0.03","0.05","70","50","693.1","0.03-0.05-70-50"
"0.03","0.05","70","60","808.2","0.03-0.05-70-60"
"0.03","0.05","70","70","605.3","0.03-0.05-70-70"
"0.03","0.05","70","80","478.4","0.03-0.05-70-80"
"0.03","0.05","70","90","653.9","0.03-0.05-70-90"
"0.03","0.05","80","10","341.5","0.03-0.05-80-10"
"0.03","0.05","80","100","418.8","0.03-0.05-80-100"
"0.03","0.05","80","20","735.8","0.03-0.05-80-20"
"0.03","0.05","80","30","841.8","0.03-0.05-80-30"
"0.03","0.05","80","40","791.2","0.03-0.05-80-40"
"0.03","0.05","80","50","702.7","0.03-0.05-80-50"
"0.03","0.05","80","60","691.7","0.03-0.05-80-60"
"0.03","0.05","80","70","685.0","0.03-0.05-80-70"
"0.03","0.05","80","80","633.4","0.03-0.05-80-80"
"0.03","0.05","80","90","526.3","0.03-0.05-80-90"
"0.03","0.05","90","10","407.5","0.03-0.05-90-10"
"0.03","0.05","90","100","401.1","0.03-0.05-90-100"
"0.03","0.05","90","20","556.8","0.03-0.05-90-20"
"0.03","0.05","90","30","489.0","0.03-0.05-90-30"
"0.03","0.05","90","40","695.1","0.03-0.05-90-40"
"0.03","0.05","90","50","806.9","0.03-0.05-90-50"
"0.03","0.05","90","60","707.4","0.03-0.05-90-60"
"0.03","0.05","90","70","592.7","0.03-0.05-90-70"
"0.03","0.05","90","80","593.5","0.03-0.05-90-80"
"0.03","0.05","90","90","505.1","0.03-0.05-90-90"
"0.03","0.06","10","10","44.8","0.03-0.06-10-10"
"0.03","0.06","10","100","101.6","0.03-0.06-10-100"
"0.03","0.06","10","20","98.1","0.03-0.06-10-20"
"0.03","0.06","10","30","134.4","0.03-0.06-10-30"
"0.03","0.06","10","40","151.1","0.03-0.06-10-40"
"0.03","0.06","10","50","116.0","0.03-0.06-10-50"
"0.03","0.06","10","60","104.6","0.03-0.06-10-60"
"0.03","0.06","10","70","137.9","0.03-0.06-10-70"
"0.03","0.06","10","80","89.2","0.03-0.06-10-80"
"0.03","0.06","10","90","151.7","0.03-0.06-10-90"
"0.03","0.06","100","10","376.1","0.03-0.06-100-10"
"0.03","0.06","100","100","482.3","0.03-0.06-100-100"
"0.03","0.06","100","20","568.5","0.03-0.06-100-20"
"0.03","0.06","100","30","522.1","0.03-0.06-100-30"
"0.03","0.06","100","40","635.1","0.03-0.06-100-40"
"0.03","0.06","100","50","568.8","0.03-0.06-100-50"
"0.03","0.06","100","60","628.8","0.03-0.06-100-60"
"0.03","0.06","100","70","745.6","0.03-0.06-100-70"
"0.03","0.06","100","80","456.2","0.03-0.06-100-80"
"0.03","0.06","100","90","686.6","0.03-0.06-100-90"
"0.03","0.06","20","10","116.6","0.03-0.06-20-10"
"0.03","0.06","20","100","185.7","0.03-0.06-20-100"
"0.03","0.06","20","20","334.9","0.03-0.06-20-20"
"0.03","0.06","20","30","244.8","0.03-0.06-20-30"
"0.03","0.06","20","40","228.0","0.03-0.06-20-40"
"0.03","0.06","20","50","184.2","0.03-0.06-20-50"
"0.03","0.06","20","60","306.2","0.03-0.06-20-60"
"0.03","0.06","20","70","208.1","0.03-0.06-20-70"
"0.03","0.06","20","80","187.8","0.03-0.06-20-80"
"0.03","0.06","20","90","134.0","0.03-0.06-20-90"
"0.03","0.06","30","10","251.8","0.03-0.06-30-10"
"0.03","0.06","30","100","441.0","0.03-0.06-30-100"
"0.03","0.06","30","20","254.4","0.03-0.06-30-20"
"0.03","0.06","30","30","306.0","0.03-0.06-30-30"
"0.03","0.06","30","40","302.7","0.03-0.06-30-40"
"0.03","0.06","30","50","250.5","0.03-0.06-30-50"
"0.03","0.06","30","60","278.6","0.03-0.06-30-60"
"0.03","0.06","30","70","265.1","0.03-0.06-30-70"
"0.03","0.06","30","80","319.1","0.03-0.06-30-80"
"0.03","0.06","30","90","330.0","0.03-0.06-30-90"
"0.03","0.06","40","10","266.5","0.03-0.06-40-10"
"0.03","0.06","40","100","217.0","0.03-0.06-40-100"
"0.03","0.06","40","20","340.6","0.03-0.06-40-20"
"0.03","0.06","40","30","473.9","0.03-0.06-40-30"
"0.03","0.06","40","40","438.5","0.03-0.06-40-40"
"0.03","0.06","40","50","453.1","0.03-0.06-40-50"
"0.03","0.06","40","60","597.2","0.03-0.06-40-60"
"0.03","0.06","40","70","347.0","0.03-0.06-40-70"
"0.03","0.06","40","80","365.7","0.03-0.06-40-80"
"0.03","0.06","40","90","426.7","0.03-0.06-40-90"
"0.03","0.06","50","10","467.0","0.03-0.06-50-10"
"0.03","0.06","50","100","333.5","0.03-0.06-50-100"
"0.03","0.06","50","20","430.4","0.03-0.06-50-20"
"0.03","0.06","50","30","420.8","0.03-0.06-50-30"
"0.03","0.06","50","40","631.6","0.03-0.06-50-40"
"0.03","0.06","50","50","579.0","0.03-0.06-50-50"
"0.03","0.06","50","60","349.4","0.03-0.06-50-60"
"0.03","0.06","50","70","415.7","0.03-0.06-50-70"
"0.03","0.06","50","80","388.0","0.03-0.06-50-80"
"0.03","0.06","50","90","428.0","0.03-0.06-50-90"
"0.03","0.06","60","10","368.5","0.03-0.06-60-10"
"0.03","0.06","60","100","539.3","0.03-0.06-60-100"
"0.03","0.06","60","20","439.8","0.03-0.06-60-20"
"0.03","0.06","60","30","479.0","0.03-0.06-60-30"
"0.03","0.06","60","40","714.4","0.03-0.06-60-40"
"0.03","0.06","60","50","787.3","0.03-0.06-60-50"
"0.03","0.06","60","60","517.1","0.03-0.06-60-60"
"0.03","0.06","60","70","579.2","0.03-0.06-60-70"
"0.03","0.06","60","80","447.4","0.03-0.06-60-80"
"0.03","0.06","60","90","421.2","0.03-0.06-60-90"
"0.03","0.06","70","10","328.6","0.03-0.06-70-10"
"0.03","0.06","70","100","490.7","0.03-0.06-70-100"
"0.03","0.06","70","20","480.9","0.03-0.06-70-20"
"0.03","0.06","70","30","530.3","0.03-0.06-70-30"
"0.03","0.06","70","40","511.0","0.03-0.06-70-40"
"0.03","0.06","70","50","551.6","0.03-0.06-70-50"
"0.03","0.06","70","60","478.5","0.03-0.06-70-60"
"0.03","0.06","70","70","685.4","0.03-0.06-70-70"
"0.03","0.06","70","80","638.9","0.03-0.06-70-80"
"0.03","0.06","70","90","488.8","0.03-0.06-70-90"
"0.03","0.06","80","10","244.1","0.03-0.06-80-10"
"0.03","0.06","80","100","395.8","0.03-0.06-80-100"
"0.03","0.06","80","20","565.0","0.03-0.06-80-20"
"0.03","0.06","80","30","606.5","0.03-0.06-80-30"
"0.03","0.06","80","40","765.8","0.03-0.06-80-40"
"0.03","0.06","80","50","561.6","0.03-0.06-80-50"
"0.03","0.06","80","60","623.0","0.03-0.06-80-60"
"0.03","0.06","80","70","477.6","0.03-0.06-80-70"
"0.03","0.06","80","80","608.8","0.03-0.06-80-80"
"0.03","0.06","80","90","588.5","0.03-0.06-80-90"
"0.03","0.06","90","10","566.7","0.03-0.06-90-10"
"0.03","0.06","90","100","415.4","0.03-0.06-90-100"
"0.03","0.06","90","20","561.2","0.03-0.06-90-20"
"0.03","0.06","90","30","464.0","0.03-0.06-90-30"
"0.03","0.06","90","40","787.9","0.03-0.06-90-40"
"0.03","0.06","90","50","529.3","0.03-0.06-90-50"
"0.03","0.06","90","60","743.2","0.03-0.06-90-60"
"0.03","0.06","90","70","484.7","0.03-0.06-90-70"
"0.03","0.06","90","80","530.1","0.03-0.06-90-80"
"0.03","0.06","90","90","428.0","0.03-0.06-90-90"
"0.03","0.07","10","10","81.8","0.03-0.07-10-10"
"0.03","0.07","10","100","71.8","0.03-0.07-10-100"
"0.03","0.07","10","20","50.6","0.03-0.07-10-20"
"0.03","0.07","10","30","63.3","0.03-0.07-10-30"
"0.03","0.07","10","40","107.3","0.03-0.07-10-40"
"0.03","0.07","10","50","97.1","0.03-0.07-10-50"
"0.03","0.07","10","60","91.0","0.03-0.07-10-60"
"0.03","0.07","10","70","103.3","0.03-0.07-10-70"
"0.03","0.07","10","80","159.6","0.03-0.07-10-80"
"0.03","0.07","10","90","94.0","0.03-0.07-10-90"
"0.03","0.07","100","10","298.1","0.03-0.07-100-10"
"0.03","0.07","100","100","411.7","0.03-0.07-100-100"
"0.03","0.07","100","20","457.8","0.03-0.07-100-20"
"0.03","0.07","100","30","513.3","0.03-0.07-100-30"
"0.03","0.07","100","40","619.4","0.03-0.07-100-40"
"0.03","0.07","100","50","632.5","0.03-0.07-100-50"
"0.03","0.07","100","60","544.3","0.03-0.07-100-60"
"0.03","0.07","100","70","619.7","0.03-0.07-100-70"
"0.03","0.07","100","80","511.2","0.03-0.07-100-80"
"0.03","0.07","100","90","590.5","0.03-0.07-100-90"
"0.03","0.07","20","10","139.2","0.03-0.07-20-10"
"0.03","0.07","20","100","120.7","0.03-0.07-20-100"
"0.03","0.07","20","20","132.6","0.03-0.07-20-20"
"0.03","0.07","20","30","154.9","0.03-0.07-20-30"
"0.03","0.07","20","40","152.2","0.03-0.07-20-40"
"0.03","0.07","20","50","168.8","0.03-0.07-20-50"
"0.03","0.07","20","60","172.2","0.03-0.07-20-60"
"0.03","0.07","20","70","138.7","0.03-0.07-20-70"
"0.03","0.07","20","80","165.0","0.03-0.07-20-80"
"0.03","0.07","20","90","183.0","0.03-0.07-20-90"
"0.03","0.07","30","10","116.8","0.03-0.07-30-10"
"0.03","0.07","30","100","274.1","0.03-0.07-30-100"
"0.03","0.07","30","20","270.6","0.03-0.07-30-20"
"0.03","0.07","30","30","149.7","0.03-0.07-30-30"
"0.03","0.07","30","40","270.4","0.03-0.07-30-40"
"0.03","0.07","30","50","122.8","0.03-0.07-30-50"
"0.03","0.07","30","60","180.0","0.03-0.07-30-60"
"0.03","0.07","30","70","210.0","0.03-0.07-30-70"
"0.03","0.07","30","80","287.1","0.03-0.07-30-80"
"0.03","0.07","30","90","216.7","0.03-0.07-30-90"
"0.03","0.07","40","10","209.3","0.03-0.07-40-10"
"0.03","0.07","40","100","274.6","0.03-0.07-40-100"
"0.03","0.07","40","20","295.5","0.03-0.07-40-20"
"0.03","0.07","40","30","206.6","0.03-0.07-40-30"
"0.03","0.07","40","40","276.1","0.03-0.07-40-40"
"0.03","0.07","40","50","209.4","0.03-0.07-40-50"
"0.03","0.07","40","60","347.5","0.03-0.07-40-60"
"0.03","0.07","40","70","213.2","0.03-0.07-40-70"
"0.03","0.07","40","80","375.4","0.03-0.07-40-80"
"0.03","0.07","40","90","212.3","0.03-0.07-40-90"
"0.03","0.07","50","10","134.7","0.03-0.07-50-10"
"0.03","0.07","50","100","347.9","0.03-0.07-50-100"
"0.03","0.07","50","20","274.3","0.03-0.07-50-20"
"0.03","0.07","50","30","296.9","0.03-0.07-50-30"
"0.03","0.07","50","40","477.0","0.03-0.07-50-40"
"0.03","0.07","50","50","307.3","0.03-0.07-50-50"
"0.03","0.07","50","60","363.2","0.03-0.07-50-60"
"0.03","0.07","50","70","462.9","0.03-0.07-50-70"
"0.03","0.07","50","80","270.5","0.03-0.07-50-80"
"0.03","0.07","50","90","459.7","0.03-0.07-50-90"
"0.03","0.07","60","10","191.0","0.03-0.07-60-10"
"0.03","0.07","60","100","332.3","0.03-0.07-60-100"
"0.03","0.07","60","20","440.4","0.03-0.07-60-20"
"0.03","0.07","60","30","463.7","0.03-0.07-60-30"
"0.03","0.07","60","40","410.0","0.03-0.07-60-40"
"0.03","0.07","60","50","343.8","0.03-0.07-60-50"
"0.03","0.07","60","60","301.3","0.03-0.07-60-60"
"0.03","0.07","60","70","472.0","0.03-0.07-60-70"
"0.03","0.07","60","80","349.8","0.03-0.07-60-80"
"0.03","0.07","60","90","425.6","0.03-0.07-60-90"
"0.03","0.07","70","10","187.9","0.03-0.07-70-10"
"0.03","0.07","70","100","534.7","0.03-0.07-70-100"
"0.03","0.07","70","20","532.7","0.03-0.07-70-20"
"0.03","0.07","70","30","403.7","0.03-0.07-70-30"
"0.03","0.07","70","40","392.0","0.03-0.07-70-40"
"0.03","0.07","70","50","480.1","0.03-0.07-70-50"
"0.03","0.07","70","60","511.0","0.03-0.07-70-60"
"0.03","0.07","70","70","348.1","0.03-0.07-70-70"
"0.03","0.07","70","80","448.5","0.03-0.07-70-80"
"0.03","0.07","70","90","353.8","0.03-0.07-70-90"
"0.03","0.07","80","10","227.2","0.03-0.07-80-10"
"0.03","0.07","80","100","443.6","0.03-0.07-80-100"
"0.03","0.07","80","20","387.4","0.03-0.07-80-20"
"0.03","0.07","80","30","481.0","0.03-0.07-80-30"
"0.03","0.07","80","40","501.7","0.03-0.07-80-40"
"0.03","0.07","80","50","459.9","0.03-0.07-80-50"
"0.03","0.07","80","60","435.8","0.03-0.07-80-60"
"0.03","0.07","80","70","435.1","0.03-0.07-80-70"
"0.03","0.07","80","80","422.3","0.03-0.07-80-80"
"0.03","0.07","80","90","256.5","0.03-0.07-80-90"
"0.03","0.07","90","10","341.5","0.03-0.07-90-10"
"0.03","0.07","90","100","475.0","0.03-0.07-90-100"
"0.03","0.07","90","20","337.6","0.03-0.07-90-20"
"0.03","0.07","90","30","526.2","0.03-0.07-90-30"
"0.03","0.07","90","40","461.0","0.03-0.07-90-40"
"0.03","0.07","90","50","597.7","0.03-0.07-90-50"
"0.03","0.07","90","60","544.1","0.03-0.07-90-60"
"0.03","0.07","90","70","495.5","0.03-0.07-90-70"
"0.03","0.07","90","80","397.9","0.03-0.07-90-80"
"0.03","0.07","90","90","588.4","0.03-0.07-90-90"
